ID,Name,Age,Salary,HoursWorked,Productivity,Team,Bonus
439825,Alice,28,50000,40,80,Team_A,0.03
702415,Bob,29,51000,45,25,Team_A,0.03
601234,Charlie,22,45000,38,85,Team_C,0.03
834567,David,40,70000,42,70,Team_A,0.05
195678,Eva,32,55000,37,90,Team_C,0.04
936428,Frank,28,48000,41,78,Team_B,0.05
308712,Grace,38,65000,39,82,Team_A,0.04
574896,Hank,40,45000,50,30,Team_C,0.03
489356,Jack,42,62000,44,76,Team_A,0.06
671239,Kate,26,49000,40,83,Team_B,0.03
802315,Liam,31,58000,38,87,Team_C,0.06
345672,Mia,31,55000,48,35,Team_B,0.04
918245,Nina,34,67000,37,75,Team_B,0.05
123756,Oliver,30,56000,41,85,Team_C,0.05
986521,Penny,23,47000,39,88,Team_A,0.04
573814,Quinn,36,69000,40,73,Team_B,0.03
249108,Ruby,24,50000,37,90,Team_C,0.06
605793,Sam,29,54000,42,78,Team_A,0.03
734916,Tina,37,66000,39,80,Team_B,0.03
128347,Zane,32,59000,41,84,Team_C,0.06
670912,Ava,25,51000,37,89,Team_A,0.04
385672,Ben,33,64000,40,77,Team_B,0.03
594310,Chloe,45,52000,42,81,Team_C,0.06
710294,Dylan,35,67000,38,76,Team_A,0.05
682134,Emma,30,55000,39,86,Team_B,0.05
419867,Gwen,34,70000,37,74,Team_A,0.04
359084,Hugo,31,58000,43,80,Team_B,0.06
831672,Isla,24,49000,36,88,Team_C,0.03
475981,Jay,48,71000,41,72,Team_A,0.06
297654,Kylie,29,53000,38,87,Team_B,0.03
406725,Maya,39,72000,42,71,Team_A,0.03
894123,Nash,27,56000,37,83,Team_B,0.06
563802,Olivia,23,47000,40,89,Team_C,0.05
798145,Pax,36,68000,38,75,Team_A,0.04
156309,Quincy,32,60000,41,79,Team_B,0.04
283671,Rose,35,64000,37,84,Team_C,0.03
650731,Seth,30,57000,42,81,Team_A,0.06
820364,Uma,33,62000,40,78,Team_C,0.05
978241,Wyatt,34,66000,41,76,Team_B,0.03
462318,Zack,35,60000,46,40,Team_C,0.06
